Line #,Reward Date,Investment Amount,Reward Amount,Total Reward Amount Till that date, Staking Reward Rate
1,2020-10-13,0.100000,0.000082,0.000000,10.00%
2,2020-11-13,0.100000,0.000849,0.000082,10.00%
3,2020-12-13,0.100000,0.000822,0.000932,10.00%
4,2021-01-13,0.100000,0.000849,0.001753,10.00%
5,2021-02-13,0.100000,0.000849,0.002603,10.00%
6,2021-03-13,0.100000,0.000767,0.003452,10.00%
7,2021-04-13,0.100000,0.000849,0.004219,10.00%
8,2021-05-13,0.100000,0.000822,0.005068,10.00%
9,2021-06-13,0.100000,0.000849,0.005890,10.00%
10,2021-07-13,0.100000,0.000822,0.006740,10.00%
11,2021-08-13,0.100000,0.000849,0.007562,10.00%
12,2021-09-13,0.100000,0.000849,0.008411,10.00%
13,2021-10-13,0.100000,0.000822,0.009260,10.00%
14,2021-11-13,0.100000,0.000849,0.010082,10.00%
15,2021-12-13,0.100000,0.000822,0.010932,10.00%
16,2022-01-13,0.100000,0.000849,0.011753,10.00%
17,2022-02-13,0.100000,0.000849,0.012603,10.00%
18,2022-03-13,0.100000,0.000767,0.013452,10.00%
19,2022-04-13,0.100000,0.000849,0.014219,10.00%

